words (in Hausa Language),English
Baki-baki,Dark
Bakin,Extent
Bakin alkalami,Nib
Bakin bindiga,Barrel
Bakin ciki,Sad
Bakin ciki,Sad
Baƙin ciki,Anguished
Bakin ciki matuka,Slough
Bakin haure,Fortress
Baƙin ƙarfe,Iron
Bakin kirin,Ebony
Bakin kofa,Threshold
Bakin ruwan sukar,Treacle
Bakin teku,Coast
Bakin tsuntsu,Beak
Bako,Strange
Baƙo,Stranger
Bako a gida,Caller
Bakomai,Empty
Bakon,Strange
Bakon abu,Odder
Bakon dauro,Measles
Bakon dauro,Measles
Baƙon dauro,Measles
Bakon harshe,Foreign language
Bakon harshe,Foreign language
Baƙon harshe,Foreign language
Bakuna,Bows
Bakunci,Hospitality
Bakuwa,Swamp
Bakwai,Seven
Bala’i,Calamity
Balaga,Maturely
Balagagge,Mature
Balaguro,Haggard
Balai,Disaster
Balai,Disaster
Balangaje,Droop
Balas,Credit
Balbela,Heron
Balbela da danginta,Egret
Baligi,Adolescent
Balla,Pluck
Balle,Snap
Balmar baka,Blarney
Bam,Bomb
Bamabamai,Bombard
Bambakwali,Dewlap
Bam-bamai,Bombastic
Bambanci,Distinction
Bambanci sosai,Chasm
Bambancin,Difference
Bambanta,Divergent
Bambarakwai,Peculiar
Bambare,Detach
Bambaro,Straw
Bambaroki,Scab
Bambaroki (na jiki),Scurf
Bammi,Wine
Bamu,Us
Ban,I
Ban baki,Lobbying
Ban da,Except
Ban da natsuwa,Haphazard
Ban da rabewa,Indiscriminately
Ban da sakewa,Strict
Ban da wannan,Besides
Ban daki,Loo
Ban dariya,Derision
Ban ganye,Dormant
Ban gaskiya,Belief
Ban kwana,Farewell
Ban mamaki,Amazing
Ban shaawa,Impressive
Ban tsoro,Scary
Bana,I do not
Banbanci,Disparity
Banda,Excluding
Banda haka,Exceptionally
Bandaki,Latrines
Banga-banga,Abreast
Bangae,Shove
Bangare,Chip
ɓangare,Part
Bangaskiya,Faith
Bangazaruma,Slat
Bango,Bane
Bangon duniya,Horizon
Bangon gefe,Headwalls
Bangon littafi,Binding
Bani,Give me
Banjo,Chloroform
Bankada,Expose
Bankara,Truss
Banƙara,Bankara
Bankare,Warp
Banƙare,Bankareta
Banki,Bankster
Bankowa,Slammin
Banmamaki,Miraculous
Bano,Eel
Bantara,Chunk
Bante,Loin-cloth
Banten jariri,Napkin
Banue,Uncover
Banza,Badass
Banzanta,Shitty
Banzatattun mutane,Scum
Baqin ciki,Grief
Bar,Leave
Bar (wurin),Quit
Bara,Beg
Baraka,Rent
Baram-baram,Njc njc
Baranda,Veranda
Barantaka,Service
Baranya,Maid
Barasa,Booze
Barasa mai karfi,Brandy
Barauniya,Thief
ɓarauniya,Thief
Barauniyar hanya,Diversion
Barauniyar hanya,Diversion
ɓarauniyar hanya,Diversion
Barauniyar hanyar,Deviation
Barauniyar kofa,Lintel
Barawo,Thief
ɓarawo,Burglar
Barayi,Side
Barazana,Threat
Barazanar,Menace
Barazanar rai,Life-threatening
Barbada,Sprinkle
Barbarwa,Quail
Barbashi,Crumbs
Barbo,Marrow
Barci,Sleep
Bare,Alienated
Barga,Stable
Bargo,Marrow
Barho,Knife
Bari,Forsake
ɓari,Abortion
Bari a baya,Back-logged
Bari gaba daya,Forsake
Barikin baki,Resthouse
Barikin kurata,Depot
Barima,Padlock
Barin ciki,Miscarriage
Barin muhalli,Dislocated
Barin wata dabia,Purge
Barin zance,Blurt
Bark,Bapst
Barka,Rip
Barka da asuba,Good morning
Barka da asuba!,Good morning!
Barka da safe,Good morning
Barka da sallah,Good prayers
Barka da yamma.,Good evening.
Barka da zuwa,Welcome
Barkace,Congratulate
Barkatai,Random
Barke,Burst
Barkewa,Flareup
ɓarkewa,Fissures
Barkono,Chilies
Barkonon tsohuwa,Tear
Barkwanci,Cartoonish
Barmushi,Pall
Barna,Mischief
ɓarna,Blunder
Barna ta ganganci,Sabotage
Barnata,Squander
ɓarnata,Despoiler
Barnatad da,Waste
Barnatarwa,Mangle
ɓarnatarwa,Rampage
Baro,Hay
Baro (na taba),Quid
Baroro,Crop
Barranta,Renounce
Barrantar da,Acquit
Barren,Barre
Barua,Tricksters
Barudu,Gunpowder
Barza,Grind
Barzana,Barzan
Bas,Bus
Basarake a ingila,Peer
Basarwa,Acquits
Bashi,Debt
Bashi da mahimmanci,Irrelevant
Bashi da nauyi,Unencumbered
Ba-shiryayye,Absent-minded
Basilin (maganin shafawa),Vaseline
Basira,Insightfully
Basukur,Bicycle
Basur,Hemorrhoids
Basusa,Catapult
Basusuka,Debts
Basusuwa,Liability
Bata,Disappear
ɓata,Curt
Bata (mace),Violate
Bata fuska,Frown
Bata gari,Misdirection
Bata hali,Calumny
Bata lokaci,Dawdle
Bata ran wani,Brood
Bata suna,Defamation
Bata sunan,Defame
Bata wa,Displease
Batacce,Lost
ɓatacce,Lost
Bataccen turanci,Pidgin
Bataliya,Battalion
Batanci,Assult
Batar,Mislead
ɓatar,Mislead
Batar da,Lead
Batar da,Lead
ɓatar da,Lead
Batarwa,Misplace
Batattu,Astray
ɓatattu,Astray
Ba-tauye,Twin
Batawa,Wasting
Batin,Batten
Batir,Stump
Batir mai ruwa,Accumulator
Batsa,Obscenely
Batu,Issue
Batun,Subject
Batun tarawa,Sexuality
Bature,Officer
Baturi,Battery
Batutuwa,Issues
Baubawa,Savage
Bauca (ta baitulmali),Voucher
Baude,Swerve
Baude wa,Elude
Baudewa,Evasion
Bauji,Girth
Bauta,Slavery
Bauta wa,Serve
Bautar,Enslave
Bautar gumaka,Idolatry
Bautawa,God
Bawa,Slave
ɓawa,Slave
Bawa mutum dama,Vouchsafe
Bawa yaro darasi,Hothouse
Bawali,Urine
Bawan allah,Servant of god
Bawo,Peeled
ɓawo,Shells
Bawon burodi,Crust
Bawul (na mota),Valve
Baya,Backward
Baya aiki,Not working
Baya kadan,Set-back
Baya so,Dislikes
Bayad da,Devolution
Bayala,Margin
Bayamma,Fever
Bayan,Aftermath
Bayan gida,Lavatory
Bayan mutuwa,Posthumous
Bayan wannan,Besides
Bayanai,Information
Bayani,Elaboration
Bayani ko warwarewa,Solution
Bayar,Thrash
Bayar da,Let down
Bayarwa,Donside
Bayayya,Recrimination
Bayi,Slaves
Bayyana,Loom
Bayyana damuwa,Ho-hum
Bayyana murna,Celebrate
Bayyana takaici da bacin rai,Melancholic
Bayyananna,Clear
Bayyananne,Conspicuous
Bayyananniya,Blatant
Bayyanannu,Clear
Bayyanar cututtuka,Symptoms
Bayyanawa,Exposing
Bayyanene,Clear
Baza,Distribute
Baza (labari),Publish
Bazata,Accidentally
Bazawa,Publication
Bazawara,Widowed
Bazo bazo,Profusion
Bazuwar,Randomly
Bbchausa verticals,Posted on verticals
Bbchausa verticals/,Posted on verticals /
Bbchausa verticals/001 smart chickens,Posted on verticals / 001 smart chickens
Bbchausa verticals/002 clothing,Posted on verticals / 002 clothing
Bbchausa verticals/003 bilingual benefits,Posted on verticals / 003 bilingual benefits
Bbchausa verticals/004 normal sex life,Posted on verticals / 004 normal sex life
Bbchausa verticals/005 lethologica,Posted on verticals / 005 lethologica
Bbchausa verticals/006 one laptop per child,Posted on verticals / 006 one laptop per child
Bbchausa verticals/007 yawn,Posted on verticals / 007 yawn
Bbchausa verticals/008 staying awake,Posted on verticals / 008 staying awake
Bbchausa verticals/009 money morals,Posted on verticals / 009 money morals
Bbchausa verticals/010 jobs for introverts,Posted on verticals / 010 jobs for introverts
Bbchausa verticals/012 cashless countries,Posted on verticals / 012 cashless countries
Bbchausa verticals/013 dream home disaster,Posted on verticals / 013 dream home disaster
Bbchausa verticals/014 job interviews,Posted on verticals / 014 job interviews
Bbchausa verticals/015 busy,Posted on verticals / 015 busy
Bbchausa verticals/016 recruiters on fb,Posted on verticals / 016 recruiters on fb
Bbchausa verticals/017 oversharing,Posted on verticals / 017 oversharing
Bbchausa verticals/018 paranoia success,Posted on verticals / 018 paranoia success
Bbchausa verticals/019 stop lying to yourself,Posted on verticals / 019 stop lying to yourself
Bbchausa verticals/020 cheating,Posted on verticals / 020 cheating
Bbchausa verticals/021 job advice,Posted on verticals / 021 job advice
Bbchausa verticals/022 mid career break,Posted on verticals / 022 mid career break
Bbchausa verticals/023 anger outlet,Posted on verticals / 023 ange outlet
Bbchausa verticals/024 expat salary,"Posted on verticals / 024 expat chef salary, tx"
Bbchausa verticals/025 nice boss,Posted on verticals / 025 nice boss
Bbchausa verticals/026 chinese status symbol,Posted on verticals / 026 chinese status police vehicles
Bbchausa verticals/027 asking what people do,Posted on verticals / 027 asking what people do
Bbchausa verticals/028 olympians struggle,Posted on verticals / 028 olympians struggle
Bbchausa verticals/029 switch off on weekends,Posted on verticals / 029 switch off on weekends
Bbchausa verticals/030 chilli peppers,Posted on verticals / 030 chilli peppers
Bbchausa verticals/031 garlic breath,Posted on verticals / 031 garlic breath
Bbchausa verticals/032 one food,Posted on verticals / 032 one food
Bbchausa verticals/033 avoiding surveillance,Posted on verticals / 033 avoiding surveillance
Bbchausa verticals/034 clownfish,Posted on verticals / 034 clownfish
Bbchausa verticals/035 living plants,Posted on verticals / 035 living plants
Bbchausa verticals/036 soviet pilot,Posted on verticals / 036 soviet pilot
Bbchausa verticals/037 electric car etiquette,Posted on verticals / 037 electric car etiquette
Bbchausa verticals/038 animal with the most babies,Posted on verticals / 038 animal with the largest babies
Bbchausa verticals/039 proverbs reflect who we are,Posted on verticals / 039 proverbs reflect who we are
Bbchausa verticals/040 egypt beauty,Posted on verticals / 040 egypt beauty
Bbchausa verticals/041 robot sex,Posted on verticals / 041 robot sex
Bbchausa verticals/042 positive thinking make you lazy,Posted on verticals / 042 positive thinking make you lazy
Bbchausa verticals/043 becoming the boss,
Bbchausa verticals/044 scar tissue vs normal skin,
Bbchausa verticals/045 bestseller secret,
Bbchausa verticals/046 smart interrupting,
Bbchausa verticals/047 the village that survived a war,
Bbchausa verticals/048 expensive drink,
Bbchausa verticals/049 coca-cola,
Bbchausa verticals/050 baldness,
Bbchausa verticals/051 ways to encourage generosity,
Bbchausa verticals/052 pilotless airliner,
Bbchausa verticals/053 protect the mind from bias,
Bbchausa verticals/054 helicopter airliners,
Bbchausa verticals/055 six ways animals use fake eyes,
Bbchausa verticals/056 why paper cuts hurt so much,
Bbchausa verticals/057 celebrate shyness,
Bbchausa verticals/058 if all animals were smart,
Bbchausa verticals/059 sea nomads see like dolphins,
Bbchausa verticals/060 animals suicide,
Bbchausa verticals/061 facebook rise,
Bbchausa verticals/062 pyramid in mountain,
Bbchausa verticals/063 living in darkness,
Bbchausa verticals/064 talking to yourself,
Bbchausa verticals/065 wash your hands,
Bbchausa verticals/066 scratch an itch,
Bbchausa verticals/067 learn 30 languages,
Bbchausa verticals/068 quietest place,
Bbchausa verticals/bilingual benefits,
Bbchausa verticals/chickens,
Bbchausa verticals/clothing,
Bbchausa verticals/garlic breath,
Bbchausa verticals/shyness,
Bbchausa verticals/smart chickens,
Bbchausa verticals/staying awake,
Bbchausa verticals/yawn,
Be able to,Be absenger
Beat kenan,Whack
Bebaye,Dumbfound
Bebe,Dumb
Because,Contre
Bedi na dashe-dashe,Nursery
Bege,Desire
Begen gida,Nostalgia
Beguwa,Porcupine
Bel,Belt
Beli,Uvala
Believe,Chipmunk
Believer,Chipmunk
Benci,Bench
Bene,Floor
Bera,Rat
Beru,Warbler
Bi,Chase
Bi da,Treat
Bi da bi,Consecutively
Bi har asali,Retrace
Bi umurnin,Obey
Bias,Above
Bias ga,Accordance
Bias ga maganar,According
Bi-bango,Follow-wall
Bibbiga,Parakeet
Bibiya,Tracking
Bible kenan,Scripture
Bice,Extinguish
Bida,Seek
Bida da danginsu,Viper
Bidi,Cape
Bidia,Heresy
Bidia,Heresy
Bidiyo,Video
Bijimi ****,Bull****
Bijirarre,Cuplrit
Bijire,Away
Bijirewa,Defiance
Bijiro,Incidences
Bika,Canine
Biki,Pomp
Bikin,Celebrated
Bikin aure,Wedding
Bil,Bill
Biladama,Humanity
Biliyan,Billion
Bin bashi,Owing
Bin doka,Law-abiding
Bin igiyar ruwa,Drift
Bin marmari,Delicacy
Bin shawara,Defendant
Bin umarni,Follow instructions
Bin umurni,Obedience
Bincika,Scrutinize
Bincikawa,Recherche
Bincike,Inquisition
Binciken,Surveying
Binciken asalin abubuwa,Research
Binciken sanadin mutuwa,Inquest
Bind,Terms
Bindi,Tail
Bindiga,Gun
Bindiga mai juyawa,Revolver
Bindigogi,Firearms
Bingira,Topple
Bingire,Topple
Binne,Buried
Binnewa,Burial
Birai,Monkeys
Birane,Cities
Biranen,Cities
Biredi,Sauces
Birge,Admired
Birgewa,Overawe
Birgima,Rolling
Birgima (cikin tabo),Wallow
Biri,Baboon
Biri da danginsa,Monkey
Biris da,Ignore
Birki,Brake
Birkice,Muddle
Birkida,Tumble
Birkila,Mason
Birkita,Confuse
Birni,City
Biro,Pen
Birtaniya,Uk
Bisa,On
Bisa doka,Legally
Bisa kan,On
Bisa yarda,Willingly
Bisa zalunci,Unjustly
Bisa-tsoro,Over-awe
Bishara,Gospel
Bishiya,Tree
Biskit,Biscuit
Bismillah,Bon appetit
Biso,Burial
Bita,Revise
Bitamin,Vitamin
Bite,Biter
Biya,Pay
Biya bukata,Satisfaction
Biya muradi,Satisfaction
Biyan da bai cika ba,Underpaid
Biyan haraji,Solvency
Biyan kudi,Payment
Biyar,Five
Biyari,Bearings
Biyayya,Subjection
Biye,Grant
Biyu,Two
Biyun,Both
Bobuwa,Warble fly
Body,Health
Boka,Witch
Bokanci,Sorcery
Bokiti,Pail
Bola,Incinerator
Bom,Bomb
Bom na kasan ruwa,Torpedo
Bonas,Gratuity
Bone,Woe
Bones,Bone
Bore,Riot
Borin jini,Allergic
Boring kenan,Tedious
Bororo,Blister
Bos,Coach
Bota,Shaft
Boto,Funnel
Botorami,Orc
Botsare,Defy
Boyayye,Obscure
Boyayyen gurin binne gawa,Crypt
Boye,Confined
ɓoye,Hid
Boyewa,Concealment
Boyewa,Concealment
ɓoyewa,Hiding
Boyi,Steward
Breasts,Breast
Brigediya,Brigadier
Bubbuga,Batter
ɓuɓɓuga,Flowing
Bubbugo,Spring
ɓuɓɓugo,Spring
Bubbugowa,Gush
Bube,Gape
Buda,Harmattan
Buda rumbu,Opening store
Buɗa rumbu,Opening store
Budadde,Transparent
Budadden lamari,Impersonal
Bude,Open
Buɗe,Open
Bude makullin kofa,Unlock
Bude-baki,Open-mouth
Budewa,Openness
Budi,Revelation
Budu,Straw
Budurci,Virginity
Budurwa,Maiden
Buga,Strikes
Buga (bindiga),Shoot
Buga da karfi,Smite
Buga wa jinni,Bleed
Buga wa waya,Wire
Bugagge,Drunk
Bugawa,Stampede
Bugu,Wripping
Bugu da karfi,Hard-hit
Bugu da kari,Furthermore
Bugu da kari,Furthermore
Bugu da ƙari,In addition
Bugudu,Bustard
Bugun jini,Stroke
Bugun littafi,Speed log
Buguwa,Drunk
Buhu,Sack
Buhuna,Bags
Bukaci,Need
Buƙaci,Urged
Bukari,Compass
Bukata,Exigent
Buƙata,Need
Bukatar,Need
Bukatoci,Uses
Buƙatoci,Uses
Bukatu,Requirements
Buƙatu,Requirements
Buke,Helmet
Bukka,Hut
Bukukuwa,Balls
Bulala,Whips
Bulaliya,Shingle
Bulbule,Gush
Bulota,Blotter
Bulu,Blue
Buluƙuƙu,Bulukuku
Bulumbuƙwi,Bulumbukwi
Bulum-bulum,Bulum bulum
Bulunƙuya,Bulunkuya
Bulunƙwiya,Bulunkwiya
Bulus,Paul
Bumbu,Bumba
Bumi,Free download
Buna,Feliz
Bunda,Issues
Bundu,Bund
Bundukuli,Gizzard
Bunduƙuli,Bundukuli
Bundum-bundum,Bundum bundum
Bungu-bungu,Bunga-bunga
Bungula,Bungulan
Buniya,Pollen
Bunkasa,Full-blown
Bunƙasa,Thrive
Bunƙashi,Bunkashi
Bunƙaso,Bunkaso
Bunƙasu,Development
Bunku,Rey
Bunƙu,Rey
Bunkuɗa,Bunkuda
Bunkuɗi,Bunkudi
Bunkuɗo,Bunkudo
Bunƙumeme,Bunkumeme
Bunƙumi,Bunkumi
Bunƙusa,Bunkusa
Bunƙuso,Bunkuso
Bunƙusu,Bunkusu
Bunsuru,Goat
Buntsur-buntsur,Buntsur buntsur
Buntu,Chaff
Buntusu,Pontius
Bunu,A wheel
Bununi,Pollen
Bununuwa,Sty
Bura kai,Bura
Bura kogo,Buran cave
Bura-bura,Ke-ke
Burace-burace,Goals
Buraɗa,Burada
Bura-kai,Bura
Bura-kogo,Buran-hole
Burandi,Brandy
Burbuɗi,Debris
Burburta,Burbur
Burɗa-burɗa,Burda burda
Burɗeɗe,Burdede
Burɗeɗiya,Burdediya
Burduduwa,Young locusts
Burduƙu,Burduku
Burɗuma-burɗuma,Burduma burduma
Burɗumeme,Burdumeme
Burɗumemiya,Burdumemiya
Burɗumi,Burdumi
Bure,Free download
Bureɗe,Burede
Burga,Spin
Burga rubace,Intimidate
Burgami,Bag
Burge,Impress
Burgewa,Fascinated
Burgi,Burgin
Burgu,Burg
Burhana,Burhan
Buri,Yearning
Burin,Ambitiously
Burji,Gravel
Burji-burji,Gravel-gravel
Burki,Brick
Burkitacce,Nebulous
Burƙume,Burkume
Burma,Cave in
Burme,Cave in
Burmi,Bet
Burmuƙa,Burmuka
Buro,Büro
Burodi,Bread
Buroshi,Brush
Bursu,Bursa
Bursuna,Delegation
Burta,Antoe
Burtali,Cattle grazing patterns
Burtaniya,Pounds
Burtsatse,Boreholes
Burtu,Hornbill
Burtuntuna,Smut
Burtuntuna da irinta,Blight
Buruɗe,Burude
Buruɗi,Burudi
Buruji,Galaxies
Buruƙu,Buruku
Buruƙuƙu,Burukuku
ɓurum,Burum
Burum-burum,Burum burum
Burunta,Buru
Bururu,Virgin
Burushi,Brush
Burutsu,Fantasy
Burzu,Burz
ɓus,Bus
Busa,Blow
Busa-goggo,Blow-on aunt
Busaƙi,Busaki
Busar iska,Confort
Busassa,Withered
Busasshe,Dried
Busasshen,Prune
Busasshen inabi,Currant
Busasshiya,Dry
Busassu,Withered
Bushaƙa,Bushaka
Bushaƙai,Bushakai
Bushaƙi,Bushaki
Bushaƙiya,Bushakiya
Bushara,Good news
Bushe,Desiccate
Bushewa,Desiccated
Bushiya,Rinderpest
Busiƙai,Busikai
Busiƙeƙe,Busikeke
Busiƙeƙiya,Busikekiya
Busiƙi,Busiki
Buskuɗa,Buskuda
Busur-busur,Busu busu
But,Tough
Butaci,Buta
Buta-wuta,Buta-fire
Butsa-butsa,Butsa butsa
Butu-butu,Butu butu
Butulci,Naive
Butulu,Ungrateful
Bututu,Tube
Bututu da irinsu,Spout
Bututun amsa kuwwa,Microphone
Bututun gadina,Watering-can
Bututun karfe,Nozzle
Bututun zuke ruwa daga ciki ko mafitsara,Catheter
Butuwa,Butu
Buwa,Good things
Buwaya,Geek
Buwaye,Overpowered
Buwayi,Buwayi populated place
Buya,Hide
Buya a cikin razani,Skulk
Buya buya,Hide hide
Buya-buya,Hide-hide
Buyar wuta,Bonfire
Buza,Buzan
Buzaye,Tuareg
Buzu,Buzun
Buzu-buzu,Buzun buzun
Buzuzu,Beetle
Caba,Slash
Caɓa,Decorated
Caɓaɓa,Cababa
Caɓa-caɓa,Adorned adorned
Caɓal,Cabal
Caɓalɓale,Cabalbale
Caɓalɓali,Cabalbali
Caɓalɓalo,Cabalbalo
Caɓalo,Cabalo
Caɓe,Cabe
Cabi,Mud
Caɓi,Mud
Caɓiya,Cabiya
Caɓo,Cabo
Caɓu,Cabu
Caɓula-gemu,Cabula-beard
Caɓula-kashi,Cabula percent
Caɓule,Cabule
Caca,Gamble
Cacaɓa,Cacaba
Cacar baki,Acrimonious
Cacar kuri’a,Lottery
Caccakar kalamai,Dissing
Cadi,Chad
Caf,Football
Cafa,Cafe
Caf-caf,Caf caf
Cafɗi,Cafdi
Café,Catch
Cafés,Shopping
Caffa,Homage
Cafi,Cafina
Caja,Charger
Caje,Charged
Caji,Charge
Cajole kenan,Wheedle
Cak,Checks
Caka,Stab
Caka da kaimi,Spur
Cakaɗi,Cakadi
Cakaɗiɗi,Cakadidi
Cakau,Struck
Caki,Check
Cakina,Cakir
Cakulan,Chocolate
Cakulat,Chocolate
Cakulkuli,Tickle
Cali-cali,Clown
Calm kenan,Serene
Camfi,Superstition
Can,There
Can da nisa,Afar
Cancanci,Deservedly
Cancanta,Desititute
Cancanta da girma,Admissible
Canfi,Superstitions
Cangami,Dibble
Canja,Transfer
Canja raayi,Indoctrinate
Canja sheka,Defected
Canja sheka,Defected
Canja sheƙa,Defected
Canjawa,Commutation
Canji,Relief
Canjin raayi,Indoctrinating
Canke,Random
Canki-canka,Quiz
Canza,Supersede
Canza sheka,Defected
Canza sheka,Defected
Canza sheƙa,Defected
Canzawa,Fickle
Cara,Crowing
Casa,Thresh
Casa’in (90),Ninety
Cazbi,Rosary
Ce,Profess
Ce wa,Tell
Cece- ku- ce,Haggle
Cek,Check
Ceta,Rescue
Ceto,Rescue
Cewa,Admission
Chacha,Gambling
Chalk,Chalku
Childish kenan,Puerile
Chimpanzee,Chimpanzees
Ci,Chop
Ci (karfi),Wear
Ci amanar,Betray
Ci bal-bal,Flame
Ci baya,Backwardness
Ci da ceto,Blackmail
Ci da gumi,Screwed
Ci dina,Dine
Ci fita,Succeed
Ci gaba,Subsist
Ci gindi,Fuck
Ci irlin,Humiliate
Ci karo,Clash
Ci kasuwa,Shop
Ci mutuncin,Humiliate
Ci naka in ci nawa,Your mine
Ci nasara,Conquer
Ci riba,Gain
Ci sannu-sannu,Smoulder
Ci sosai,Blaze
Cibi da irinsu,Hernia
Cibiya,Navel
Cibiyar wili,Hub
Cicciɓa,Cicciba
Cicciɓi,Ciccibi
Cicciɓo,Ciccibo
Cicciɓu,Ciccibu
Cicciɓuwa,Ciccibuwa
Cida,Thunder
Cif,Completely
Cigaba,Formative
Cigali,Sirloin
Cije,Jam
Cijewa,Bitingly
Cika,Blab
Cika bakin guzuma,Mouth guzuma
Cika girma,Oversize
Cika gurbin,Replace
Cika magana da karfi,Overemphasize
Cika shekara,Full year
Cikakke,Perfect
Cikakken-hujja,Dummy-proof
Cikamaki,Complement
Cikas,Hindrance
Cikasa,Complete
Cikawa,Appall
Cikawar,Ebullience
Cike da adalci,Righteously
Cike da annashuwa,Grisly
Cike da damuwa,Depressingly
Cike da daukaka,Exaltingly
Cike da lada,Rewardingly
Cike da murna,Exhilaratingly
Cike da shaawa,Gratifyingly
Cike da zafin rai,Exasperatingly
Ciki,Gloomy
Ciki (na mace),Womb
Cikin,In
Cikin ado mai tsada,Swanky
Cikin alheri,Graciously
Cikin aminci,Peacefully
Cikin annashuwa,Freakishly
Cikin bacin rai,Invidiously
Cikin bakai,Calamitously
Cikin balai,Tragically
Cikin ban haushi,Annoyingly
Cikin bantsoro,Onerously
Cikin barkwanci,Funnily
Cikin burutsa,Rantingly
Cikin dabara,Ingeniously
Cikin dabbanci,Barbarically
Cikin damuwa,Perturbed
Cikin dariya,Laughably
Cikin daukaka,Upliftingly
Cikin ɗoki,Eagerly
Cikin farin ciki,Gallingly
Cikin firgici,Alarmingly
Cikin fushi,Infuriatingly
Cikin girma,Prodigiously
Cikin girmamawa,Respectfully
Cikin girman kai,Arrogantly
Cikin hadari,Menacingly
Cikin haɗari,Perilously
Cikin haƙuri,Steadfastly
Cikin hankali,Prudently
Cikin hanzari,Excruciatingly
Cikin haskawa,Shimmeringly
Cikin haushi,Irritably
Cikin hikima,Wisely
Cikin izgili,Scornfully
Cikin izza,Insolently
Cikin jan hankali,Alluringly
Cikin jarunta,Fortuitously
Cikin jimami,Mournfully
Cikin jin kunya,Timidly
Cikin karfi,Sturdy
Cikin karsashi,Gallantry
Cikin kasa,Interior
Cikin kasaita,Gorgeously
Cikin kaskanci,Dastardly
Cikin kauna,Dotingly
Cikin kirgi,Aboard
Cikin kwanciyar hankali,Comfortably
Cikin ladabi,Barbarously
Cikin lokacin,During
Cikin mugunta,Viciously
Cikin nadama,Lamentably
Cikin nasara,Successfully
Cikin niima,Blissfully
Cikin nishaɗi,Leisurely
Cikin nutsuwa,Franticly
Cikin raha,Scoffingly
Cikin rashin azanci,Illogically
Cikin rashin hankali,Agonizingly
